"Part";"Value";"Device";"Package";"Description";"DESC";"DPN";"LINK";"MANUFACTURER";"MF";"MPN";"OC_MOUSER";"PACKAGE";"STANDARD";"TYPE";"VALUE";
"C34";"2.2UF";"2.2UF";"C_0805";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"1276-1066-1-ND";"https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B105KAFNNNE/1276-1066-1-ND/3889152";"";"";"CL21B105KAFNNNE";"";"";"";"";"";
"C35";"0.1UF";"0.1UF";"C_0805";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"399-9158-1-ND";"https://www.digikey.com/product-detail/en/kemet/C0805C104Z3VACTU/399-9158-1-ND/3522676";"";"";"C0805C104Z3VACTU";"";"";"";"";"";
"C36";"0.15UF";"0.15UF";"C_0805";"https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012207073/732-7667-1-ND/5454294";"";"732-7667-1-ND";"https://www.digikey.com/product-detail/en/wurth-electronics-inc/885012207073/732-7667-1-ND/5454294";"";"";"885012207073";"";"";"";"";"";
"D1";"1N4148WX-TP";"1N4148WX-TP";"SOD323";"";"";"1N4148WXTPMSCT-ND";"https://www.digikey.com/product-detail/en/micro-commercial-co/1N4148WX-TP/1N4148WXTPMSCT-ND/717312";"";"";"1N4148WX-TP";"";"";"";"";"";
"D5";"ORANGE";"LED_ORANGE0805";"CHIPLED_0805";"LED";"";"160-1434-1-ND";"https://www.digikey.com/product-detail/en/lite-on-inc/LTST-C190KFKT/160-1434-1-ND/386812";"";"";"LTST-C190KFKT";"";"";"";"";"";
"D6";"AP7313";"AP7313";"SOT23-3";"https://www.digikey.com/product-detail/en/diodes-incorporated/AP7313-33SRG-7/AP7313-33SRG-7DICT-ND/2270841";"";"AP7313-33SRG-7DICT-ND";"https://www.digikey.com/product-detail/en/diodes-incorporated/AP7313-33SRG-7/AP7313-33SRG-7DICT-ND/2270841";"";"";"AP7313-33SRG-7";"";"";"";"";"";
"G3";"16MHz";"CRYSTAL-HC49US";"HC49US";"";"";"535-9041-ND";"https://www.digikey.com/product-detail/en/abracon-llc/ABL-16.000MHZ-B2/535-9041-ND/675236";"";"";"ABL-16.000MHZ-B2";"";"";"";"";"";
"G4";"32.768kHz";"CRYSTAL-TC26H";"TC26H";"";"32.768kHz / 12.5pF / 20ppm";"";"";"";"Citizen FineDevice";" CFS206-32.768KDZF-UB";"695-CFS206-327KF-U";"TC-26H";"";"Crystal";"32.768kHz";
"J1";"PJ-002A";"PJ-002A";"CUI_PJ-002A";"2.0 mm Center Pin, 2.5 A, Right Angle, Through Hole, Dc Power Jack Connector";"";"CP-002A-ND";"https://www.digikey.com/product-detail/en/cui-inc/PJ-002A/CP-002A-ND/96962";"CUI INC";"";"PJ-002A";"";"";"Manufacturer recommendations";"";"";
"J2";"";"USB_MICRO-B";"FCI_10103594-0001LF";"USB Type Micro-B Connector";"";"609-4050-1-ND";"https://www.digikey.com/product-detail/en/amphenol-icc-fci/10103594-0001LF/609-4050-1-ND/2350357";"";"";"10103594-0001LF";"";"";"";"";"";
"J3";"30_PIN_CONNECTOR_MALE";"30_PIN_CONNECTOR_MALE";"MOLEX_30PINCONNECTOR_2MM";"";"";"";"";"";"";"";"";"";"";"";"";
"J5";"SWITCHCRAFT_PHONEJACK";"SWITCHCRAFT_PHONEJACK";"STEREO_JACK_2SWITCH";"";"";"SC1488-1-ND";"https://www.digikey.com/product-detail/en/switchcraft-inc/35RASMT4BHNTRX/SC1488-1-ND/2754493";"";"";"35RASMT4BHNTRX  ";"";"";"";"";"";
"J6";"SWD_CONNECTOR";"SWD_CONNECTOR";"1X5HEADER";"";"";"";"";"";"";"";"";"";"";"";"";
"K3";"";"MK20DX256VLH7";"LQFP64-05";"";"";"MK20DX256VLH7-ND";"https://www.digikey.com/products/en?keywords=841-MK20DX256VLH7";"";"";"MK20DX256VLH7";"";"";"";"";"";
"K4";"";"MKL04Z32VLC4";"LQFP32-08";"";"MKL04Z32VLC4 (preprogrammed)";"";"https://www.pjrc.com/store/ic_mkl02.html";"";"PJRC";"IC_MKL04Z32_TQFP32";"";"LQFP-32";"";"Microcontroller";"";
"L1";"";"FERRITE600_TEENSY";"L0603";"";"";"490-1014-1-ND";"https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?k=BLM18AG601SN1D&k=&pkeyword=BLM18AG601SN1D&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25";"";"";"BLM18AG601SN1D";"";"";"";"";"";
"L3";"FER600";"FERRITE600_AUDIO";"0805";"https://www.digikey.com/product-detail/en/tdk-corporation/MPZ2012S601AT000/445-2206-1-ND/765104";"";"445-2206-1-ND";"https://www.digikey.com/product-detail/en/tdk-corporation/MPZ2012S601AT000/445-2206-1-ND/765104";"";"";"MPZ2012S601AT000";"";"";"";"";"";
"L4";"";"FERRITE600_TEENSY";"L0603";"";"";"490-1014-1-ND";"https://www.digikey.com/products/en/filters/ferrite-beads-and-chips/841?k=BLM18AG601SN1D&k=&pkeyword=BLM18AG601SN1D&sv=0&pv7=2&sf=0&quantity=&ColumnSort=0&page=1&pageSize=25";"";"";"BLM18AG601SN1D";"";"";"";"";"";
"OK1";"6N138";"6N138";"DIP8";"";"";"160-1797-ND";"https://www.digikey.com/product-detail/en/lite-on-inc/6N138S/160-1797-ND/1969181";"";"";"6N138S";"";"";"";"";"";
"R1";"220";"220OHM";"0805";"";"";"RHM220KCT-ND";"https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR10EZPJ221/RHM220KCT-ND/1762990";"";"";"ESR10EZPJ221";"";"";"";"";"";
"R2";"470";"470OHM";"0805";"";"";"RHM470KCT-ND";"https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR10EZPJ471/RHM470KCT-ND/1763027";"";"";"ESR10EZPJ471";"";"";"";"";"";
"R5";"33";"33OHM";"0805";"";"";"RHM33KCT-ND";"https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR10EZPJ330/RHM33KCT-ND/1763011";"";"";"ESR10EZPJ330";"";"";"";"";"";
"R6";"33";"33OHM";"0805";"";"";"RHM33KCT-ND";"https://www.digikey.com/product-detail/en/rohm-semiconductor/ESR10EZPJ330/RHM33KCT-ND/1763011";"";"";"ESR10EZPJ330";"";"";"";"";"";
"R7";"470";"470OHM";"0805";"";"";"311-470CRCT-ND";"https://www.digikey.com/product-detail/en/yageo/RC0805FR-07470RL/311-470CRCT-ND/730923";"";"";"RC0805FR-07470RL";"";"";"";"";"";
"R8";"470";"470OHM";"0805";"";"";"311-470CRCT-ND";"https://www.digikey.com/product-detail/en/yageo/RC0805FR-07470RL/311-470CRCT-ND/730923";"";"";"RC0805FR-07470RL";"";"";"";"";"";
"R11";"2.2K";"2.2KOHM";"0805";"https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K2L/311-2.20KCRCT-ND/730623";"";"311-2.20KCRCT-ND";"https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K2L/311-2.20KCRCT-ND/730623";"";"";"RC0805FR-072K2L";"";"";"";"";"";
